ID,Age,Gender,Education_Level,Country,Employment_Status,Years_Programming,Primary_Role,Company_Size,Languages_Count,Paradigms_Experienced,Primary_Paradigm,Projects_Completed,Hours_Per_Week,Formal_CS_Training,Current_Salary_USD,Imperative_Difficulty,Functional_Difficulty,Object_Oriented_Difficulty,Logic_Difficulty,Reactive_Difficulty,Declarative_Difficulty,Imperative_Months,Functional_Months,Object_Oriented_Months,Logic_Months,Reactive_Months,Declarative_Months,Learning_Curve_Steepness,Plateau_Experienced,Knowledge_Retention,Difficulty_Transitioning,Prefer_First_Paradigm,Mental_Model_Shift,Preferred_Learning_Method,Motivation_Factors,Biggest_Challenge,Transferable_Skills,Avg_Difficulty,Total_Learning_Months,Experience_Level,Salary_Category,Paradigm_Diversity
1,25,Male,Bachelor's Degree,USA,Full-time,3.0,Frontend Developer,Medium (101-500),4,3,Object-Oriented,15,45,Yes,85000,2,5.0,3,7,6.0,4,1.0,6.0,2.0,8.0,5.0,3.0,3.0,Yes,4.0,2.0,Yes,3.0,Project-based,Problem-solving,Abstract thinking,Algorithm design,4.5,25.0,Intermediate (2-5 years),Medium (50k-100k),0.6
2,31,Female,Master's Degree,Germany,Full-time,7.0,Backend Developer,Large (1000+),6,4,Functional,28,50,Yes,105000,3,4.0,2,8,7.0,5,2.0,5.0,1.0,9.0,6.0,4.0,4.0,Yes,5.0,4.0,No,5.0,Mentorship,Intellectual challenge,Pattern recognition,Problem decomposition,4.833333333333333,27.0,Experienced (5-10 years),High (100k-150k),0.8
3,28,Non-binary,Bachelor's Degree,Canada,Full-time,4.0,Full Stack Developer,Small (11-50),5,3,Object-Oriented,22,42,Yes,78000,2,6.0,3,9,7.0,5,1.0,7.0,2.0,10.0,6.0,4.0,3.0,No,3.0,2.0,Yes,2.0,Online courses,Career growth,State management,Debugging skills,5.333333333333333,30.0,Intermediate (2-5 years),Medium (50k-100k),0.6
4,35,Male,PhD,UK,Full-time,12.0,DevOps Engineer,Large (1000+),8,5,Functional,45,48,Yes,145000,3,4.0,2,7,6.0,5,2.0,4.0,1.0,8.0,5.0,3.0,5.0,Yes,6.0,5.0,No,6.0,Academic study,Technical elegance,Mathematical thinking,Architecture patterns,4.5,23.0,Expert (10+ years),High (100k-150k),1.0
5,22,Female,Bachelor's Degree,India,Part-time,1.0,Junior Developer,Startup (1-10),3,2,Object-Oriented,8,35,Yes,35000,4,7.0,3,9,8.0,6,3.0,8.0,2.0,10.0,7.0,5.0,2.0,No,2.0,1.0,Yes,1.0,Bootcamp,Job requirements,Syntax memorization,Basic logic,6.166666666666667,35.0,Beginner (<2 years),Low (<50k),0.4
6,29,Male,Master's Degree,Brazil,Full-time,5.0,Mobile Developer,Medium (101-500),5,3,Object-Oriented,18,47,Yes,72000,3,5.0,2,8,7.0,4,2.0,6.0,1.0,9.0,5.0,3.0,3.0,Yes,4.0,3.0,Yes,3.0,Documentation,Practical applications,Object design,Code organization,4.833333333333333,26.0,Experienced (5-10 years),Medium (50k-100k),0.6
7,33,Female,Bachelor's Degree,Australia,Full-time,9.0,Data Scientist,Large (1000+),7,4,Functional,32,45,Yes,115000,2,4.0,3,7,6.0,5,1.0,5.0,2.0,8.0,4.0,3.0,4.0,Yes,5.0,4.0,No,4.0,Peer programming,Community,Pure functions,Data flow thinking,4.5,23.0,Experienced (5-10 years),High (100k-150k),0.8
8,26,Male,Bachelor's Degree,France,Contract,3.0,Game Developer,Small (11-50),4,3,Procedural,12,40,No,65000,4,6.0,5,9,8.0,7,3.0,7.0,4.0,10.0,6.0,5.0,3.0,No,3.0,2.0,Yes,2.0,Tutorials,Project needs,Rule-based thinking,Sequential logic,6.5,35.0,Intermediate (2-5 years),Medium (50k-100k),0.6
9,40,Female,Master's Degree,Japan,Full-time,15.0,System Architect,Large (1000+),9,5,Functional,52,50,Yes,160000,2,3.0,4,8,7.0,5,1.0,4.0,3.0,9.0,6.0,4.0,5.0,Yes,6.0,5.0,No,6.0,Research papers,Theoretical interest,Type systems,Abstraction skills,4.833333333333333,27.0,Expert (10+ years),Very High (150k+),1.0
10,24,Non-binary,Bachelor's Degree,Spain,Full-time,2.0,Web Developer,Medium (101-500),5,3,Object-Oriented,10,43,Yes,68000,3,6.0,2,9,7.0,5,2.0,7.0,1.0,10.0,6.0,4.0,3.0,No,3.0,1.0,Yes,2.0,Online courses,Career advancement,Library ecosystems,Modular design,5.333333333333333,30.0,Intermediate (2-5 years),Medium (50k-100k),0.6
11,31,Male,Master's Degree,USA,Full-time,8.0,Backend Developer,Large (1000+),7,4,Object-Oriented,25,46,Yes,98000,2,4.0,3,7,6.0,5,1.0,5.0,2.0,8.0,4.0,3.0,4.0,Yes,4.0,3.0,No,4.0,Mentorship,Technical challenge,Immutable data,Function composition,4.5,23.0,Experienced (5-10 years),Medium (50k-100k),0.8
12,27,Female,Bachelor's Degree,Poland,Full-time,4.0,Frontend Developer,Medium (101-500),4,3,Object-Oriented,16,44,Yes,75000,3,5.0,2,8,7.0,4,2.0,6.0,1.0,9.0,5.0,3.0,3.0,No,3.0,2.0,Yes,2.0,Project-based,Job requirements,Class hierarchies,Encapsulation,4.833333333333333,26.0,Intermediate (2-5 years),Medium (50k-100k),0.6
13,38,Male,PhD,Netherlands,Full-time,14.0,ML Engineer,Large (1000+),8,5,Functional,38,49,Yes,135000,2,3.0,4,7,6.0,5,1.0,4.0,3.0,8.0,5.0,4.0,5.0,Yes,6.0,5.0,No,5.0,Academic study,Intellectual curiosity,Recursive thinking,Pattern matching,4.5,25.0,Expert (10+ years),High (100k-150k),1.0
14,23,Female,Bachelor's Degree,Mexico,Part-time,2.0,Junior Developer,Startup (1-10),3,2,Object-Oriented,6,30,Yes,32000,4,8.0,3,9,7.0,6,3.0,9.0,2.0,10.0,6.0,5.0,2.0,No,2.0,1.0,Yes,1.0,Bootcamp,Immediate needs,Syntax differences,Basic programming,6.166666666666667,35.0,Intermediate (2-5 years),Low (<50k),0.4
15,32,Non-binary,Master's Degree,Sweden,Full-time,6.0,Full Stack Developer,Small (11-50),6,4,Functional,20,45,Yes,92000,3,5.0,2,8,6.0,4,2.0,6.0,1.0,9.0,5.0,3.0,4.0,Yes,4.0,3.0,No,4.0,Peer programming,Practical utility,Monads,Data transformation,4.666666666666667,26.0,Experienced (5-10 years),Medium (50k-100k),0.8
16,29,Male,Bachelor's Degree,South Korea,Full-time,5.0,Android Developer,Medium (101-500),5,3,Object-Oriented,14,42,No,70000,4,7.0,3,9,8.0,6,3.0,8.0,2.0,10.0,7.0,5.0,3.0,Yes,3.0,2.0,Yes,2.0,Documentation,Career growth,Inheritance,Object modeling,6.166666666666667,35.0,Experienced (5-10 years),Medium (50k-100k),0.6
17,36,Female,Master's Degree,USA,Full-time,11.0,Backend Developer,Large (1000+),9,5,Object-Oriented,48,50,Yes,125000,2,3.0,4,8,7.0,5,1.0,4.0,3.0,9.0,6.0,4.0,5.0,Yes,6.0,5.0,No,6.0,Research papers,Theoretical depth,Logic programming,Proof thinking,4.833333333333333,27.0,Expert (10+ years),High (100k-150k),1.0
18,26,Male,Bachelor's Degree,Italy,Contract,3.0,Web Developer,Small (11-50),4,3,Procedural,11,38,Yes,62000,5,8.0,4,9,7.0,6,4.0,9.0,3.0,10.0,6.0,5.0,3.0,No,3.0,1.0,Yes,2.0,Tutorials,Project constraints,Memory management,Control flow,6.5,37.0,Intermediate (2-5 years),Medium (50k-100k),0.6
19,42,Female,PhD,UK,Full-time,18.0,Principal Engineer,Large (1000+),10,5,Functional,55,52,Yes,175000,1,3.0,4,7,6.0,5,0.5,4.0,3.0,8.0,5.0,4.0,5.0,Yes,6.0,5.0,No,6.0,Research papers,Theoretical interest,Type systems,Abstraction skills,4.333333333333333,24.5,Expert (10+ years),Very High (150k+),1.0
20,25,Non-binary,Bachelor's Degree,Canada,Full-time,2.5,Frontend Developer,Medium (101-500),5,3,Object-Oriented,12,44,Yes,71000,3,6.0,2,9,7.0,5,2.0,7.0,1.0,10.0,6.0,4.0,4.0,Yes,4.0,3.0,No,4.0,Mentorship,Learning challenge,Lazy evaluation,Expression thinking,5.333333333333333,30.0,Intermediate (2-5 years),Medium (50k-100k),0.6
21,30,Male,Master's Degree,Germany,Full-time,7.0,DevOps Engineer,Large (1000+),7,4,Functional,26,46,Yes,102000,2,4.0,3,7,5.0,4,1.0,5.0,2.0,8.0,4.0,3.0,3.0,Yes,3.0,2.0,Yes,2.0,Online courses,Professional development,Polymorphism,API design,4.166666666666667,23.0,Experienced (5-10 years),High (100k-150k),0.8
22,28,Female,Bachelor's Degree,France,Full-time,4.0,Data Engineer,Medium (101-500),5,3,Object-Oriented,17,45,Yes,76000,3,5.0,2,8,7.0,4,2.0,6.0,1.0,9.0,5.0,3.0,5.0,Yes,5.0,5.0,No,5.0,Academic study,Conceptual beauty,Constraint solving,Declarative thinking,4.833333333333333,26.0,Intermediate (2-5 years),Medium (50k-100k),0.6
23,34,Male,Bachelor's Degree,Brazil,Full-time,10.0,Backend Developer,Small (11-50),8,5,Object-Oriented,35,47,Yes,118000,2,3.0,4,7,6.0,5,1.0,4.0,3.0,8.0,5.0,4.0,2.0,No,2.0,1.0,Yes,1.0,Bootcamp,Job market,Basic paradigms,Simple algorithms,4.5,25.0,Expert (10+ years),High (100k-150k),1.0
